id	src_audio	src_n_frames	tgt_audio	tgt_n_frames
11544	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/11544.wav	430	71 12 93 86 68 73 16 74 27 47 3 52 24 61 43 15 7 87 9 29 6 15 7 23 62 29 28 37 51 46 70 52 25 9 85 11 64 60 70 52 25 68 44 85 94 42 32 88 81 83 84 63 22 72 40 63 93 70 14 76 1 21 98 69 60 90 35 9 32 74 27 31 23 62 74 27 31 59 33 30 16 50 77 44 80 85 94 32 64 85 53 9 74 37 63 86 91 38 44 80 85 62 74 27 31 59 33 91 43 74 21 95 99 92 82 23 44 80 11 69 74 27 47 52 24 61 43 6 15 7 87 68 42 43 6 15 41 84 63 22 72 20	142
7331	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/7331.wav	143	71 40 71 93 27 86 68 44 80 18 85 5 65 6 36 15 49 92 63 78 48 46 30 75 91 9 85 5 79 81 83 84 63 22 72 20	36
6702	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/6702.wav	2562	71 40 63 93 59 75 33 24 68 17 19 90 35 42 74 27 31 41 83 84 63 22 72 20	24
809	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/809.wav	220	71 40 63 93 70 14 76 53 44 80 18 31 87 97 70 14 76 53 62 1 99 27 15 3 63 3 87 24 13 17 68 58 11 98 42 97 81 83 72 20	40
10479	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10479.wav	170	71 40 63 93 26 98 69 14 76 73 27 89 6 15 7 87 68 19 35 5 30 25 94 32 85 5 79 81 83 84 72 22 72 20	34
10333	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10333.wav	143	71 40 63 86 68 44 80 26 87 97 44 80 85 37 86 0 30 79 81 83 84 72 63 22 72 20	26
3336	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/3336.wav	218	71 40 71 40 63 93 31 87 53 19 35 73 1 74 27 89 78 33 24 61 46 79 1 85 83 84 96 55 63 55 72 20	32
7707	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/7707.wav	132	71 40 63 31 59 75 33 24 68 43 6 15 92 27 89 6 15 41 83 84 22 63 22 72 20	25
2711	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2711.wav	307	71 93 63 93 50 69 16 3 77 87 68 37 24 61 68 44 18 31 23 99 82 62 6 15 7 87 9 16 77 73 44 80 85 73 99 27 63 78 33 35 68 42 16 1 66 2 99 15 41 83 72 20	52
11263	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/11263.wav	183	71 40 63 93 15 7 87 5 30 65 74 21 95 37 27 86 91 38 9 44 80 60 52 30 73 16 74 27 47 59 33 35 94 32 65 6 15 41 83 84 72 20	42
